env_name,env_number,agent_name,param_number,action_space,gamma,max_depth,is_model_dynamic,thread_number,undiscounted_return,total_time,discounted_return
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,19,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,40,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,46,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,10,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,23,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,48,-1.0,5,-0.6561
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,2,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,33,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,42,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,43,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,41,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,6,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,39,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,5,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,25,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,3,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,36,-1.0,5,-0.6561
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,35,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,37,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,28,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,16,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,17,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,4,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,21,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,9,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,18,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,32,-1.0,8,-0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,7,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,12,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,27,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,31,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,30,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,19,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,15,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,20,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,14,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,46,-1.0,5,-0.6561
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,26,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,29,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,11,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,42,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,6,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,10,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,2,-1.0,5,-0.6561
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,38,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,35,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,45,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,33,-1.0,4,-0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,22,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,8,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,44,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,47,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,24,-1.0,6,-0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,31,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,41,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,34,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,40,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,21,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,13,-1.0,6,-0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,36,-1.0,4,-0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,32,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,1,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,27,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,48,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,18,-1.0,5,-0.6561
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,19,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,25,-1.0,8,-0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,9,-1.0,4,-0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,23,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,37,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,7,-1.0,4,-0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,28,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,12,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,46,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,43,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,39,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,15,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,6,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,2,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,5,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,3,-1.0,8,-0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,26,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,42,-1.0,5,-0.6561
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,16,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,17,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,10,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,20,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,4,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,38,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,14,-1.0,5,-0.6561
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,36,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,30,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,8,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,44,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,22,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,29,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,18,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,25,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,31,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,41,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,28,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,21,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,11,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,46,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,32,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,24,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,35,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,2,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,7,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,33,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,6,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,45,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,12,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,19,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,27,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,47,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,40,-1.0,7,-0.531441
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,15,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,34,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,37,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,20,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,1,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,26,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,13,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,25,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,48,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,17,-1.0,4,-0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,9,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,4,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,18,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,38,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,30,-1.0,4,-0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,23,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,42,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,43,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,29,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,31,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,39,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,14,-1.0,5,-0.6561
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,36,-1.0,5,-0.6561
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,3,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,5,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,46,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,40,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,16,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,10,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,22,-1.0,8,-0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,45,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,8,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,27,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,35,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,28,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,21,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,15,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,41,-1.0,8,-0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,44,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,25,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,20,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,24,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,1,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,26,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,19,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,30,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,37,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,47,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,7,-1.0,6,-0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,11,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,6,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,32,-1.0,8,-0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,2,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,31,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,23,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,33,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,16,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,9,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,18,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,48,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,17,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,12,-1.0,8,-0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,3,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,34,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,13,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,24,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,38,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,47,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,36,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,4,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,42,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,46,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,28,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,22,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,39,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,29,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,43,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,8,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,14,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,45,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,27,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,5,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,1,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,6,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,21,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,32,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,34,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,40,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,7,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,10,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,41,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,25,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,35,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,15,-1.0,7,-0.531441
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,19,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,33,-1.0,4,-0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,23,-1.0,4,-0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,16,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,20,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,44,-1.0,6,-0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,18,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,30,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,26,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,9,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,24,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,11,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,37,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,31,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,48,0.0,9,0.0
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,17,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,3,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,5,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,2,-1.0,6,-0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,36,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,39,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,8,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,13,1.0,8,0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,12,1.0,6,0.5904900000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,29,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,32,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,18,-1.0,3,-0.81
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,41,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,1,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,19,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,7,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,42,-1.0,8,-0.4782969000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,25,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,35,1.0,4,0.7290000000000001
NSBridge-v0,1,AsynDP-NSMDP,0,Discrete(4),0.9,4,True,22,1.0,8,0.4782969000000001
