env_name,env_number,agent_name,param_number,action_space,gamma,max_depth,thread_number,undiscounted_return,total_time,discounted_return
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,22,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,29,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,23,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,20,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,1,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,37,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,40,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,26,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,31,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,2,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,33,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,30,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,44,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,4,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,12,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,19,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,39,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,13,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,46,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,38,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,21,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,35,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,25,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,42,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,11,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,34,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,14,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,36,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,8,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,5,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,17,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,28,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,7,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,29,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,32,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,16,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,27,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,43,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,9,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,18,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,23,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,40,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,48,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,31,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,20,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,22,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,15,1.0,8,0.4782969000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,26,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,44,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,41,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,10,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,6,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,3,0.0,9,0.0
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,13,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,2,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,24,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,47,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,33,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,4,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,1,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,12,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,14,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,25,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,48,-1.0,3,-0.81
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,46,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,36,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,35,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,38,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,29,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,34,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,42,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,21,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,11,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,16,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,37,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,28,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,17,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,20,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,40,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,23,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,32,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,8,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,30,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,27,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,43,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,45,1.0,8,0.4782969000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,26,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,15,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,39,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,18,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,22,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,13,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,31,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,19,1.0,8,0.4782969000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,3,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,41,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,4,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,24,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,10,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,1,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,5,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,47,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,2,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,44,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,14,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,33,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,29,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,48,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,46,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,9,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,25,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,21,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,35,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,36,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,16,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,42,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,7,1.0,8,0.4782969000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,23,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,34,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,38,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,20,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,11,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,6,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,27,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,32,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,30,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,19,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,15,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,17,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,13,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,3,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,37,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,31,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,12,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,43,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,4,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,24,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,39,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,44,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,1,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,41,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,28,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,26,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,10,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,45,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,29,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,5,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,8,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,47,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,2,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,21,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,46,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,22,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,9,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,16,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,33,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,40,1.0,8,0.4782969000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,36,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,25,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,48,-1.0,6,-0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,42,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,7,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,14,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,6,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,38,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,11,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,15,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,31,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,32,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,13,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,24,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,4,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,37,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,44,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,3,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,23,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,35,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,1,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,19,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,17,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,18,1.0,8,0.4782969000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,12,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,20,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,39,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,28,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,29,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,41,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,8,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,34,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,16,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,27,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,48,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,10,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,45,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,47,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,46,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,30,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,5,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,2,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,14,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,43,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,33,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,25,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,21,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,26,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,42,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,40,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,15,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,44,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,9,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,6,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,13,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,23,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,4,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,24,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,38,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,18,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,31,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,32,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,11,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,35,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,7,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,22,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,17,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,1,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,36,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,12,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,48,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,29,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,16,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,39,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,30,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,19,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,14,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,27,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,37,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,20,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,45,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,3,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,5,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,2,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,28,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,43,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,44,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,8,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,25,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,15,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,34,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,42,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,23,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,24,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,4,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,40,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,21,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,31,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,18,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,41,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,13,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,26,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,17,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,35,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,32,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,7,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,46,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,48,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,33,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,11,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,47,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,9,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,10,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,22,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,29,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,1,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,19,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,14,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,36,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,39,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,6,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,8,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,42,-1.0,3,-0.81
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,27,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,23,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,37,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,38,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,20,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,24,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,16,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,12,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,21,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,2,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,28,1.0,6,0.5904900000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,43,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,25,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,13,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,15,1.0,4,0.7290000000000001
NSBridge-v0,1,RATS,0,Discrete(4),0.9,4,34,1.0,4,0.7290000000000001
